"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1913","Validación de inicio de sesión ""EMPTY_USER""","","Thu Jan 29 13:56:34 UTC 2026","passed","Thu Jan 29 13:56:35 UTC 2026","","Autenticación de usuarios","Validación de inicio de sesión ""EMPTY_USER""",""
"","3345","Validación de inicio de sesión ""INVALID_CREDENTIALS""","","Thu Jan 29 13:56:28 UTC 2026","passed","Thu Jan 29 13:56:31 UTC 2026","","Autenticación de usuarios","Validación de inicio de sesión ""INVALID_CREDENTIALS""",""
"","2408","Validación de inicio de sesión ""EMPTY_PASSWORD""","","Thu Jan 29 13:56:31 UTC 2026","passed","Thu Jan 29 13:56:34 UTC 2026","","Autenticación de usuarios","Validación de inicio de sesión ""EMPTY_PASSWORD""",""
"","6162","Validación de inicio de sesión ""SUCCESS""","","Thu Jan 29 13:56:22 UTC 2026","passed","Thu Jan 29 13:56:28 UTC 2026","","Autenticación de usuarios","Validación de inicio de sesión ""SUCCESS""",""
